temp_huan1,temp_21#bellow_sul,temp_20#bellow_sul,temp_24#bellow_nor,temp_23#bellow_nor,temp_22#bellow_nor,temp_21#bellow_nor,temp_20#bellow_nor,prequency_fan_2,pressure_flue_sul,pressure_flue_nor,temp_flue_nor,thickness,hun2_water,hun2_waterq,zhonghe,fankuang,SS_FeO_value,SS_FeO_value.1,SS_FeO_value.2
345.4,441.0,428.0,455.0,500.4,482.0,469.8,401.8,5.811,-14.09,-14.032,149.8,779.0152,5.8228,59.8448,0.598888493,0.247457186,0.0,0.0,9.35
345.4,441.0,428.0,455.0,500.4,482.0,469.8,368.0,5.811,-14.09,-14.032,149.8,779.0152,5.8228,59.8448,0.598888493,0.247457186,0.0,0.0,0.0
351.4,431.4,410.4,461.6,515.4,504.6,508.0,456.6,6.3498,-13.7046,-13.7786,153.4,786.618,5.9874,59.9588,0.594965263,0.250112212,0.0,0.0,0.0
353.0,429.4,406.0,465.8,518.4,505.8,508.0,449.4,6.2692,-13.686,-13.72,153.6,786.618,6.0386,59.9588,0.595685601,0.248733045,0.0,0.0,0.0
354.4,428.2,402.8,470.0,521.8,507.6,507.8,445.0,6.171,-13.683,-13.6916,153.6,783.1828,6.0678,59.9618,0.594706341,0.248843872,9.35,9.35,9.2
355.8,427.0,399.6,474.2,525.2,509.2,507.6,440.6,6.0728,-13.68,-13.6632,153.6,779.7476,6.097,59.9648,0.59372708,0.248954699,0.0,0.0,0.0
356.2,427.0,400.4,476.0,528.2,510.8,507.0,438.2,5.9394,-13.68,-13.6446,153.8,782.678,6.0744,59.9444,0.592990336,0.249559843,0.0,0.0,0.0
356.6,428.4,401.2,477.8,529.2,511.0,506.2,435.8,5.806,-13.68,-13.626,154.0,785.6084,6.0518,59.924,0.592253591,0.250164988,0.0,0.0,0.0
356.6,429.6,403.2,476.0,528.2,511.2,505.8,433.4,5.9372,-13.678,-13.628,153.8,788.9134,5.9786,59.8946,0.593231216,0.249824144,9.2,9.2,9.2
357.6,430.2,404.0,475.4,527.2,510.0,504.2,433.4,5.9878,-13.681,-13.629,154.0,788.5064,5.9252,59.8946,0.592406086,0.25154543,0.0,0.0,0.0
358.6,430.4,403.4,474.8,526.4,508.8,503.2,434.8,6.0384,-13.684,-13.63,154.2,792.43,5.8234,59.8448,0.592577751,0.252110713,0.0,0.0,0.0
359.6,430.0,402.2,474.2,526.4,507.8,503.6,437.6,6.0992,-13.684,-13.632,154.2,789.174,5.8578,59.7948,0.593311643,0.252023856,0.0,0.0,0.0
